1:21:13:40	5	14	22	21.7204	8.1996	8.6447
1:21:14:50	5	14	22	21.8329	7.7869	7.246700000000008
1:21:16:5	5	14	22	21.9434	7.7869	13.16119999999983
1:21:17:20	5	14	22	22.2082	17.9214	18.38319999999997
1:21:18:30	5	14	22	22.5008	33.9155	34.20720000000002
1:21:19:45	5	14	22	21.8775	51.2769	51.619200000000035
1:21:20:55	5	14	22	21.8775	11.3616	10.682700000000011
1:21:22:10	5	14	22	21.9164	15.8938	16.30320000000002
1:21:23:20	5	14	22	22.0782	17.8272	18.21919999999991
1:21:24:35	5	14	22	22.3046	27.5064	27.92919999999989
1:21:25:50	5	14	22	21.8563	41.0106	41.4182
1:21:27:0	5	14	22	21.7398	12.112	11.537700000000005
1:21:28:15	5	14	22	21.8172	8.1753	7.729699999999873
1:21:29:25	5	14	22	21.8172	12.2819	12.62469999999994
1:21:30:40	5	14	22	21.9624	11.4341	10.93669999999993
1:21:31:50	5	14	22	22.1189	19.1821	19.46069999999987
1:21:33:5	5	14	22	22.2793	19.1821	27.993199999999952
1:21:34:20	5	14	22	21.8662	37.0864	37.44869999999989
1:21:35:30	5	14	22	21.8662	10.9379	10.389699999999891
1:21:36:45	5	14	22	21.8662	13.5447	13.851699999999887
1:21:37:55	5	14	22	21.9355	13.5447	13.182699999999883
1:21:39:10	5	14	22	22.2228	16.6055	17.018200000000004
1:21:40:20	5	14	22	22.5472	34.3218	34.677199999999885
1:21:41:35	5	14	22	23.1089	53.5913	54.00419999999994
1:21:42:45	5	14	22	21.0902	89.6342	90.00669999999982
1:21:44:0	5	14	22	20.843	1.1401	0
1:21:45:15	5	14	22	20.9388	0.0	0
1:21:46:25	5	14	22	21.0846	2.607	2.91400000000003
1:21:47:40	5	14	22	21.1972	5.7055	6.126999999999878
1:21:48:50	5	14	22	21.3122	6.9732	7.410999999999923
1:21:50:5	5	14	22	21.4027	9.4656	9.746000000000041
1:21:51:15	5	14	22	21.504	10.6501	11.03949999999994
1:21:52:30	5	14	22	21.4891	13.3937	13.732500000000076
1:21:53:45	5	14	22	21.5075	9.7613	9.271000000000011
1:21:54:55	5	14	22	21.5075	8.5509	8.061500000000006
1:21:56:10	5	14	22	21.8037	5.99	5.41500000000001
1:21:57:20	5	14	22	21.9995	21.9135	22.20549999999994
1:21:58:35	5	14	22	21.72	30.6376	30.989000000000075
1:21:59:45	5	14	22	21.72	11.3441	10.860999999999912
1:22:1:0	5	14	22	21.72	11.9338	12.25599999999993
1:22:2:10	5	14	22	21.8565	11.361	10.855999999999923
1:22:3:25	5	14	22	22.0194	17.9181	18.328500000000023
1:22:4:40	5	14	22	22.2428	26.4941	26.83450000000004
1:22:5:50	5	14	22	21.886	39.4449	39.82349999999991
1:22:7:0	5	14	22	21.7621	16.1328	15.611499999999939
1:22:8:10	5	14	22	21.8905	11.0442	10.555999999999997
1:22:9:25	5	14	22	22.0614	18.4556	18.951499999999935
1:22:10:35	5	14	22	22.3013	27.8286	28.228499999999915
1:22:11:50	5	14	22	21.9611	41.9786	42.42000000000006
1:22:13:0	5	14	22	21.7388	19.8645	19.41449999999985
1:22:14:15	5	14	22	21.7388	8.6812	8.172500000000063
1:22:15:30	5	14	22	21.8443	8.6812	9.08950000000004
1:22:16:40	5	14	22	21.9812	14.3282	14.640999999999998
1:22:17:55	5	14	22	22.147	21.2615	21.706000000000053
1:22:19:5	5	14	22	22.0862	30.6211	31.019999999999875
1:22:20:20	5	14	22	22.0862	26.594	26.1450000000001
1:22:21:30	5	14	22	22.1589	26.8463	27.184000000000076
1:22:22:45	5	14	22	22.4525	31.8563	32.34049999999992
1:22:24:0	5	14	22	22.8774	51.0808	51.49200000000003
1:22:25:10	5	14	22	20.4816	78.0301	78.43700000000008
1:22:26:25	5	14	22	20.5753	0.0	0
1:22:27:35	5	14	22	20.5753	22.1748	22.456499999999906
1:22:28:50	5	14	22	20.6347	14.8872	14.395999999999916
1:22:30:0	5	14	22	20.802	11.6735	11.133499999999916
1:22:31:15	5	14	22	21.1073	14.2676	14.587499999999967
1:22:32:30	5	14	22	21.0451	26.4317	26.76899999999989
1:22:33:40	5	14	22	21.0451	15.6528	15.20950000000008
1:22:34:55	5	14	22	21.116	11.5709	11.057000000000059
1:22:36:10	5	14	22	21.2863	11.3549	10.890999999999948
1:22:37:20	5	14	22	21.4538	16.3497	16.83150000000003
1:22:38:35	5	14	22	21.4538	22.1271	22.44750000000005
1:22:39:45	5	14	22	21.4538	18.53	18.041500000000052
