1585452123.9705069	2020-03-29 11:22:03	5	1	22.0	23.6033	9.5843
1585452156.2192361	2020-03-29 11:22:36	5	1	22.0	23.6033	9.5843
1585452191.0338418	2020-03-29 11:23:11	5	1	22.0	23.6033	9.5843
1585452222.9829028	2020-03-29 11:23:42	5	1	22.0	23.6033	9.5843
1585452254.7267377	2020-03-29 11:24:14	5	1	22.0	23.6033	9.5843
1585452286.3707314	2020-03-29 11:24:46	5	1	22.0	23.6033	9.5843
1585452318.6247649	2020-03-29 11:25:18	5	1	22.0	23.6033	9.5843
1585452350.4712436	2020-03-29 11:25:50	5	1	22.0	23.6033	9.5843
1585452382.3184597	2020-03-29 11:26:22	5	1	22.0	23.6033	9.5843
1585452414.2669685	2020-03-29 11:26:54	5	1	22.0	23.6033	9.5843
1585452446.3551178	2020-03-29 11:27:26	5	1	22.0	23.6033	9.5843
1585453129.1278760	2020-03-29 11:38:49	5	1	22.0	30.0108	9.5843
1585453161.0754294	2020-03-29 11:39:21	5	1	22.0	30.0108	9.5843
1585453192.8217924	2020-03-29 11:39:52	5	1	22.0	30.0108	9.5843
1585453224.6674194	2020-03-29 11:40:24	5	1	22.0	30.0108	9.5843
1585453256.6144226	2020-03-29 11:40:56	5	1	22.0	30.0108	9.5843
1585453288.3601606	2020-03-29 11:41:28	5	1	22.0	30.0108	9.5843
1585453320.1147189	2020-03-29 11:42:00	5	1	22.0	30.0108	9.5843
1585453352.1549916	2020-03-29 11:42:32	5	1	22.0	30.0108	9.5843
1585453384.3113160	2020-03-29 11:43:04	5	1	22.0	30.0108	9.5843
1585453417.0769753	2020-03-29 11:43:37	5	1	22.0	30.0108	9.5843
1585453449.0286725	2020-03-29 11:44:09	5	1	22.0	30.0108	9.5843
1585453480.7704778	2020-03-29 11:44:40	5	1	22.0	30.0108	9.5843
1585453512.9254663	2020-03-29 11:45:12	5	1	22.0	30.0108	9.5843
1585453544.8731515	2020-03-29 11:45:44	5	1	22.0	30.0108	9.5843
1585453576.9289911	2020-03-29 11:46:16	5	1	22.0	30.0108	9.5843
1585453608.8741825	2020-03-29 11:46:48	5	1	22.0	30.0108	9.5843
1585453644.6120286	2020-03-29 11:47:24	5	1	22.0	30.0108	9.5843
1585453676.4626265	2020-03-29 11:47:56	5	1	22.0	30.0108	9.5843
